Date,AMZN,META,BRK-B,JNJ,PG,WMT
2021-01-04,159.3314971923828,268.94000244140625,228.4499969482422,144.3640899658203,127.93419647216797,140.39012145996094
2021-01-05,160.92550659179688,270.9700012207031,227.47000122070312,146.06138610839844,128.75103759765625,139.642822265625
2021-01-06,156.91900634765625,263.30999755859375,230.27000427246094,147.43582153320312,130.1063232421875,140.51470947265625
2021-01-07,158.10800170898438,268.739990234375,232.8800048828125,147.93397521972656,128.89028930664062,140.505126953125
2021-01-08,159.13499450683594,267.57000732421875,234.02999877929688,147.62954711914062,128.83453369140625,140.4859619140625
2021-01-11,155.7104949951172,256.8399963378906,233.42999267578125,147.01148986816406,127.96200561523438,141.11825561523438
2021-01-12,156.04150390625,251.08999633789062,233.02999877929688,145.86769104003906,127.21939849853516,142.72792053222656
2021-01-13,158.29449462890625,251.63999938964844,234.50999450683594,145.6462860107422,127.41429138183594,141.27162170410156
2021-01-14,156.37350463867188,245.63999938964844,235.02000427246094,148.1922607421875,126.05904388427734,140.8117218017578
2021-01-15,155.21249389648438,251.36000061035156,233.49000549316406,147.86941528320312,125.11222839355469,138.57933044433594
2021-01-19,156.03799438476562,261.1000061035156,234.5500030517578,150.15707397460938,124.01686096191406,137.3817138671875
2021-01-20,163.16900634765625,267.4800109863281,234.75999450683594,149.7881317138672,122.46664428710938,139.4128875732422
2021-01-21,165.34950256347656,272.8699951171875,234.16000366210938,149.18850708007812,122.34619140625,138.78054809570312
2021-01-22,164.6114959716797,274.5,232.9199981689453,150.86737060546875,121.40296173095703,140.19854736328125
2021-01-25,164.6999969482422,278.010009765625,233.00999450683594,153.1089324951172,123.49485778808594,140.07395935058594
2021-01-26,166.30650329589844,282.04998779296875,231.57000732421875,157.25997924804688,124.28863525390625,141.32907104492188
2021-01-27,161.62899780273438,272.1400146484375,227.36000061035156,154.86163330078125,119.8901138305664,137.81285095214844
2021-01-28,161.88099670410156,265.0,230.9499969482422,156.04234313964844,121.73916625976562,137.7266387939453
2021-01-29,160.30999755859375,258.3299865722656,227.8699951171875,150.47996520996094,119.7313461303711,134.60324096679688
2021-02-01,167.1439971923828,262.010009765625,229.32000732421875,150.092529296875,120.44108581542969,133.43435668945312
2021-02-02,169.0,267.0799865722656,232.24000549316406,148.74574279785156,120.27298736572266,134.8715057373047
2021-02-03,165.62649536132812,266.6499938964844,232.67999267578125,148.0539093017578,120.42242431640625,135.28347778320312
2021-02-04,166.5500030517578,266.489990234375,235.77000427246094,149.42837524414062,120.49711608886719,136.5577392578125
2021-02-05,167.6074981689453,268.1000061035156,235.16000366210938,151.69757080078125,121.00142669677734,138.3110809326172
2021-02-08,166.14700317382812,266.5799865722656,237.4199981689453,152.13113403320312,120.62786865234375,138.95301818847656
2021-02-09,165.25,269.45001220703125,239.91000366210938,153.37644958496094,120.16093444824219,139.719482421875
2021-02-10,164.32899475097656,271.8699951171875,239.9199981689453,153.87457275390625,119.74069213867188,138.09068298339844
2021-02-11,163.10650634765625,270.3900146484375,239.75999450683594,153.1827392578125,119.8434066772461,137.98533630371094
2021-02-12,163.885498046875,270.5,242.4600067138672,153.66241455078125,119.18036651611328,138.4164581298828
2021-02-16,163.44749450683594,273.9700012207031,245.27999877929688,152.26951599121094,119.46052551269531,139.55657958984375
2021-02-17,165.4320068359375,273.57000732421875,245.25,152.81375122070312,119.96481323242188,141.0320587158203
2021-02-18,166.4114990234375,269.3900146484375,243.5,152.88755798339844,120.96406555175781,131.89181518554688
2021-02-19,162.4949951171875,261.55999755859375,241.85000610351562,150.34158325195312,118.71343231201172,132.54330444335938
2021-02-22,159.03700256347656,260.3299865722656,244.97000122070312,150.248779296875,118.2091293334961,131.92056274414062
2021-02-23,159.72500610351562,265.8599853515625,245.52999877929688,148.92141723632812,119.08697509765625,129.7935791015625
2021-02-24,157.97650146484375,264.30999755859375,248.4499969482422,150.9170379638672,119.21772003173828,127.6282730102539
2021-02-25,152.85800170898438,254.69000244140625,243.69000244140625,151.07485961914062,118.2091293334961,126.42105102539062
2021-02-26,154.64649963378906,257.6199951171875,240.50999450683594,147.08355712890625,115.36083221435547,124.47612762451172
2021-03-01,157.3070068359375,264.9100036621094,249.2100067138672,147.8818359375,116.07057189941406,125.86536407470703
2021-03-02,154.72650146484375,259.0,249.22000122070312,147.60337829589844,115.70638275146484,124.6581802368164
2021-03-03,150.25,255.41000366210938,251.5500030517578,145.00437927246094,115.01532745361328,122.24375915527344
2021-03-04,148.8784942626953,257.6400146484375,245.47999572753906,142.08053588867188,114.07211303710938,122.18627166748047
2021-03-05,150.0229949951172,264.2799987792969,253.14999389648438,144.8929901123047,117.6488265991211,123.70965576171875
2021-03-08,147.59750366210938,255.30999755859375,257.6099853515625,146.0996551513672,118.890869140625,122.52161407470703
2021-03-09,153.1425018310547,265.739990234375,259.0199890136719,146.37814331054688,117.83560180664062,123.48930358886719
2021-03-10,152.8820037841797,264.8999938964844,263.989990234375,147.7240447998047,118.91889190673828,126.64143371582031
2021-03-11,155.67950439453125,273.8800048828125,260.9100036621094,147.7147674560547,118.51731872558594,126.59353637695312
2021-03-12,154.47450256347656,268.3999938964844,260.0199890136719,148.1417236328125,119.66598510742188,128.5001220703125
2021-03-15,154.08399963378906,273.75,254.61000061035156,148.90284729003906,120.05818939208984,127.8390884399414
2021-03-16,154.59300231933594,279.2799987792969,251.5,149.78463745117188,120.4130859375,127.80073547363281
2021-03-17,156.7864990234375,284.010009765625,252.0,149.22772216796875,119.92745971679688,126.73722076416016
2021-03-18,151.39950561523438,278.6199951171875,252.4600067138672,148.9492645263672,120.1889419555664,125.08243560791016
2021-03-19,153.7480010986328,290.1099853515625,250.99000549316406,148.5501251220703,119.54457092285156,126.74687194824219
2021-03-22,155.5435028076172,293.5400085449219,250.36000061035156,148.9771270751953,121.5710678100586,127.35299682617188
2021-03-23,156.875,290.6300048828125,248.30999755859375,148.83786010742188,123.83102416992188,128.86351013183594
2021-03-24,154.35350036621094,282.1400146484375,249.6300048828125,150.285888671875,123.793701171875,128.06495666503906
2021-03-25,152.31300354003906,278.739990234375,250.75,150.34158325195312,124.6528091430664,128.93080139160156
2021-03-26,152.60150146484375,283.0199890136719,256.7699890136719,153.08908081054688,126.49253845214844,130.0083770751953
2021-03-29,153.7864990234375,290.82000732421875,258.82000732421875,154.119384765625,128.4723663330078,131.49002075195312
2021-03-30,152.76449584960938,288.0,258.19000244140625,153.16329956054688,126.49253845214844,130.59527587890625
2021-03-31,154.70399475097656,294.5299987792969,255.47000122070312,152.5507354736328,126.47386169433594,130.68185424804688
2021-04-01,158.0500030517578,298.6600036621094,258.20001220703125,151.13983154296875,125.39994049072266,130.4798126220703
2021-04-05,161.3365020751953,308.9100036621094,262.6600036621094,151.6967315673828,127.42642211914062,134.14540100097656
