Date,AAPL,MSFT,AMZN,GOOGL,META,BRK-B,JNJ,V,JPM,PG,WMT,MA,UNH,HD,INTC
2021-01-14,126.6728515625,207.44876098632812,156.37350463867188,86.5459976196289,245.63999938964844,235.02000427246094,148.1922607421875,197.55258178710938,130.56752014160156,126.0590591430664,140.81170654296875,321.8851013183594,336.2367248535156,249.45663452148438,54.28086471557617
2021-01-15,124.93355560302734,207.0884246826172,155.21249389648438,86.38099670410156,251.36000061035156,233.49000549316406,147.86941528320312,197.28834533691406,128.2275390625,125.11222076416016,138.579345703125,318.2717590332031,336.975341796875,256.196533203125,52.75092315673828
2021-01-19,125.61156463623047,210.77932739257812,156.03799438476562,89.22350311279297,261.1000061035156,234.5500030517578,150.1571044921875,197.3568572998047,127.672607421875,124.01686096191406,137.38169860839844,320.910400390625,337.8290710449219,253.96534729003906,53.12653732299805
2021-01-20,129.73866271972656,218.47267150878906,163.16900634765625,94.00350189208984,267.4800109863281,234.75999450683594,149.78810119628906,201.61402893066406,125.75809478759766,122.46662902832031,139.41287231445312,329.741943359375,336.53411865234375,254.9972686767578,53.74950408935547
2021-01-21,134.4946746826172,219.08621215820312,165.34950256347656,94.2074966430664,272.8699951171875,234.16000366210938,149.18850708007812,200.76260375976562,124.7037124633789,122.34617614746094,138.780517578125,329.27923583984375,340.5244445800781,259.4129638671875,57.221656799316406
2021-01-22,136.65652465820312,220.04055786132812,164.6114959716797,94.62799835205078,274.5,232.9199981689453,150.86737060546875,197.7091522216797,123.7417984008789,121.40296936035156,140.1985321044922,323.9132995605469,333.3782043457031,264.01458740234375,51.90808868408203
2021-01-25,140.439697265625,223.52696228027344,164.6999969482422,94.71399688720703,278.010009765625,233.00999450683594,153.10891723632812,196.69131469726562,122.19723510742188,123.49486541748047,140.07395935058594,324.1102600097656,333.62762451171875,265.0186462402344,50.790401458740234
2021-01-26,140.67555236816406,226.2537384033203,166.30650329589844,95.39749908447266,282.04998779296875,231.57000732421875,157.25997924804688,197.69935607910156,121.69779968261719,124.28861236572266,141.3291015625,322.6432189941406,329.1192932128906,262.7131652832031,50.579689025878906
2021-01-27,139.59463500976562,226.8087921142578,161.62899780273438,90.9469985961914,272.1400146484375,227.36000061035156,154.86160278320312,190.8096160888672,118.2571792602539,119.89012145996094,137.81283569335938,310.6216735839844,319.4119567871094,254.7648162841797,49.095558166503906
2021-01-28,134.71087646484375,232.68112182617188,161.88099670410156,92.66000366210938,265.0,230.9499969482422,156.0423126220703,193.99026489257812,120.33819580078125,121.73916625976562,137.7266387939453,319.2760314941406,324.3614807128906,258.4833068847656,51.3675651550293
2021-01-29,129.6698760986328,225.89341735839844,160.30999755859375,91.36799621582031,258.3299865722656,227.8699951171875,150.47994995117188,189.1262664794922,119.00634765625,119.73136138916016,134.6032257080078,311.4093017578125,319.9779357910156,251.76220703125,50.85452651977539
2021-02-01,131.81204223632812,233.38226318359375,167.1439971923828,94.65350341796875,262.010009765625,229.32000732421875,150.09249877929688,194.1272430419922,119.8849868774414,120.44110107421875,133.43435668945312,316.5980224609375,320.3807373046875,251.0649871826172,51.935569763183594
2021-02-02,132.64735412597656,233.24594116210938,169.0,95.95600128173828,267.0799865722656,232.24000549316406,148.7457275390625,198.28659057617188,123.57533264160156,120.27298736572266,134.87149047851562,329.2103271484375,324.9083251953125,253.0078582763672,53.13570022583008
2021-02-03,131.6155242919922,236.6446533203125,165.62649536132812,102.94400024414062,266.6499938964844,232.67999267578125,148.0539093017578,197.063232421875,124.99040985107422,120.42240142822266,135.28347778320312,327.68426513671875,324.1121826171875,254.8763885498047,52.842533111572266
2021-02-04,135.0056915283203,235.68057250976562,166.5500030517578,102.68150329589844,266.489990234375,235.77000427246094,149.4283447265625,204.78489685058594,127.86683654785156,120.49711608886719,136.55775451660156,335.57061767578125,315.8916015625,259.1991882324219,54.18636703491211
2021-02-05,134.58741760253906,235.86558532714844,167.6074981689453,104.44149780273438,268.1000061035156,235.16000366210938,151.69757080078125,204.3151397705078,127.61710357666016,121.00142669677734,138.3110809326172,333.5227355957031,311.2777404785156,259.236328125,53.6241340637207
2021-02-08,134.73501586914062,236.12852478027344,166.14700317382812,104.22599792480469,266.5799865722656,237.4199981689453,152.13113403320312,202.47525024414062,129.61489868164062,120.62785339355469,138.9530029296875,331.82928466796875,311.1146545410156,260.3240661621094,54.52739334106445
2021-02-09,133.84934997558594,237.39453125,165.25,103.76950073242188,269.45001220703125,239.91000366210938,153.37644958496094,202.11314392089844,129.09695434570312,120.16092681884766,139.719482421875,328.294677734375,316.18896484375,257.29339599609375,54.17715072631836
2021-02-10,133.2391815185547,236.4693603515625,164.32899475097656,104.3239974975586,271.8699951171875,239.9199981689453,153.87460327148438,202.0348663330078,129.1709442138672,119.7406997680664,138.09072875976562,329.0527648925781,319.80517578125,259.0783386230469,54.25088882446289
2021-02-11,132.98333740234375,238.09571838378906,163.10650634765625,104.4375,270.3900146484375,239.75999450683594,153.18275451660156,206.48486328125,128.81024169921875,119.84339904785156,137.9853057861328,337.5791320800781,319.48870849609375,257.56298828125,55.909934997558594
2021-02-12,133.21949768066406,238.58262634277344,163.885498046875,104.75150299072266,270.5,242.4600067138672,153.66241455078125,205.79876708984375,130.64154052734375,119.18037414550781,138.41647338867188,335.7380065917969,314.85565185546875,257.9814453125,56.96988296508789
