Date,AMD,CMG,CHD,CLX,DXCM,DG,LLY,ENPH,ETSY,GNRC,MKTX,MTCH,TGT,TSLA,WST
2021-01-04,92.30000305175781,1319.1199951171875,83.56503295898438,183.54055786132812,89.43499755859375,203.75137329101562,159.26014709472656,172.24000549316406,172.0800018310547,224.55999755859375,548.2720947265625,149.9199981689453,166.2156219482422,243.2566680908203,283.6487121582031
2021-01-05,92.7699966430664,1355.1099853515625,82.8123779296875,183.14678955078125,92.1875,200.85604858398438,160.04925537109375,181.47999572753906,174.97999572753906,227.97999572753906,539.9619750976562,150.2899932861328,168.779541015625,245.0366668701172,289.06201171875
2021-01-06,90.33000183105469,1343.4100341796875,82.93781280517578,180.76600646972656,93.9800033569336,209.1922607421875,158.12466430664062,203.3800048828125,167.57000732421875,246.2899932861328,531.0283203125,148.80999755859375,176.7801055908203,251.9933319091797,292.1610107421875
2021-01-07,95.16000366210938,1368.1400146484375,81.92460632324219,179.86865234375,96.79000091552734,211.53379821777344,159.57769775390625,213.75999450683594,170.7899932861328,254.5,535.0519409179688,152.86000061035156,178.82005310058594,272.0133361816406,302.01422119140625
2021-01-08,94.58000183105469,1402.43994140625,82.40708923339844,181.15975952148438,97.02249908447266,209.67808532714844,160.13583374023438,207.41000366210938,175.64999389648438,252.5,537.8575439453125,151.7899932861328,181.15940856933594,293.3399963378906,305.4609069824219
2021-01-11,97.25,1402.6199951171875,81.94391632080078,177.3962860107422,92.66000366210938,209.14369201660156,178.9295196533203,201.67999267578125,183.0399932861328,260.79998779296875,529.7034301757812,151.89999389648438,182.7314453125,270.39666748046875,300.3753967285156
2021-01-12,95.36000061035156,1401.6400146484375,80.93070983886719,177.86328125,90.0425033569336,212.17503356933594,172.05868530273438,206.49000549316406,205.14999389648438,259.04998779296875,515.0510864257812,153.57000732421875,186.3059844970703,283.14666748046875,296.4817199707031
2021-01-13,91.77999877929688,1395.0,81.51934814453125,177.40541076660156,90.63749694824219,212.0196075439453,178.506103515625,203.69000244140625,207.02999877929688,252.6300048828125,522.494140625,155.02000427246094,184.1724853515625,284.8033447265625,295.99505615234375
2021-01-14,90.79000091552734,1411.800048828125,81.54827880859375,179.06285095214844,88.0199966430664,207.1810760498047,179.65121459960938,208.8300018310547,211.52000427246094,253.05999755859375,498.87908935546875,149.0500030517578,185.2860107421875,281.6666564941406,296.7102355957031
2021-01-15,88.20999908447266,1405.739990234375,82.252685546875,180.86676025390625,88.55000305175781,205.43226623535156,183.57737731933594,190.58999633789062,204.4199981689453,252.80999755859375,509.51751708984375,150.85000610351562,182.2823028564453,275.38665771484375,297.3955993652344
2021-01-19,89.44999694824219,1429.47998046875,82.17549896240234,179.94190979003906,89.41000366210938,200.205078125,190.99673461914062,201.27999877929688,221.30999755859375,267.4599914550781,502.5908508300781,146.13999938964844,176.06898498535156,281.51666259765625,298.27008056640625
2021-01-20,88.75,1480.6199951171875,81.77021789550781,180.32647705078125,91.02999877929688,199.2917938232422,193.67190551757812,199.39999389648438,215.69000244140625,268.7900085449219,504.03271484375,147.6300048828125,176.19998168945312,283.48333740234375,303.16973876953125
2021-01-21,91.52999877929688,1503.6800537109375,82.0790023803711,180.5828857421875,91.875,201.8179473876953,194.72079467773438,212.08999633789062,212.5399932861328,272.3299865722656,500.8762512207031,144.49000549316406,178.9791259765625,281.663330078125,297.8328552246094
2021-01-22,92.79000091552734,1494.1800537109375,81.94391632080078,185.2895050048828,92.52999877929688,200.35084533691406,198.367919921875,212.07000732421875,213.58999633789062,277.6099853515625,496.56036376953125,141.0,179.57798767089844,282.21331787109375,298.2403259277344
2021-01-25,94.12999725341797,1486.3199462890625,84.06681823730469,194.0893096923828,94.09750366210938,200.7006072998047,204.34376525878906,202.72999572753906,208.80999755859375,269.0199890136719,496.219482421875,139.4199981689453,177.9310760498047,293.6000061035156,298.4093017578125
2021-01-26,94.70999908447266,1489.25,84.91596221923828,196.05917358398438,90.3550033569336,200.2633819580078,204.69979858398438,187.33999633789062,204.41000366210938,264.80999755859375,496.6675720214844,138.4199981689453,175.63851928710938,294.36334228515625,297.8328552246094
2021-01-27,88.83999633789062,1466.3599853515625,84.70367431640625,204.51864624023438,87.41000366210938,193.9578094482422,199.7439727783203,179.02000427246094,193.3699951171875,248.80999755859375,520.65283203125,131.5500030517578,166.82383728027344,288.0533447265625,291.4226379394531
2021-01-28,87.5199966430664,1480.5400390625,83.86416625976562,192.91102600097656,91.72250366210938,193.394287109375,202.19784545898438,193.74000549316406,202.41000366210938,252.92999267578125,522.7182006835938,141.52000427246094,171.7832794189453,278.4766540527344,297.0775146484375
2021-01-29,85.63999938964844,1480.0,81.47107696533203,192.80979919433594,93.7125015258789,189.08042907714844,200.12893676757812,182.35000610351562,199.08999633789062,246.4199981689453,526.8197021484375,139.86000061035156,169.52813720703125,264.510009765625,297.64404296875
2021-02-01,87.66000366210938,1509.02001953125,81.04650115966797,193.32525634765625,95.65499877929688,187.27328491210938,195.48098754882812,186.33999633789062,203.77000427246094,258.7300109863281,554.0686645507812,145.9499969482422,171.77389526367188,279.9366760253906,295.189208984375
2021-02-02,88.86000061035156,1523.050048828125,79.79206085205078,187.99551391601562,98.65750122070312,189.79940795898438,190.1114044189453,192.6300048828125,210.2899932861328,266.989990234375,565.1552124023438,150.08999633789062,173.66409301757812,290.92999267578125,292.7841491699219
2021-02-03,87.88999938964844,1499.989990234375,80.10084533691406,188.32687377929688,97.92250061035156,190.21719360351562,189.5340118408203,196.33999633789062,210.07000732421875,264.29998779296875,549.2755126953125,138.1199951171875,173.21493530273438,284.89666748046875,290.2796936035156
2021-02-04,87.83999633789062,1479.550048828125,79.2806396484375,176.41551208496094,100.8125,190.15890502929688,194.018310546875,195.6300048828125,220.83999633789062,262.239990234375,551.6038818359375,150.6300048828125,176.47129821777344,283.3299865722656,288.4609680175781
2021-02-05,87.9000015258789,1506.8800048828125,79.96575164794922,176.04730224609375,102.75749969482422,188.3129119873047,194.16265869140625,193.1999969482422,231.1199951171875,270.5799865722656,556.923095703125,159.82000732421875,176.72396850585938,284.07666015625,289.5542297363281
2021-02-08,91.47000122070312,1504.0,79.44467163085938,174.8966827392578,100.82499694824219,192.74334716796875,198.0118408203125,197.8699951171875,231.69000244140625,279.0,555.0330810546875,159.0,181.4868927001953,287.8066711425781,292.6450500488281
