Date,AAPL,MSFT,AMZN,GOOGL,META,BRK-B,JNJ,V,JPM,PG,WMT,MA,UNH,HD,INTC
2021-01-04,127.16413879394531,211.99661254882812,159.3314971923828,86.30650329589844,268.94000244140625,228.4499969482422,144.36407470703125,213.11328125,115.58422088623047,127.93416595458984,140.39015197753906,345.62799072265625,335.24871826171875,245.34768676757812,45.50431823730469
2021-01-05,128.7363739013672,212.20114135742188,160.92550659179688,87.00250244140625,270.9700012207031,227.47000122070312,146.06138610839844,209.93263244628906,116.2131576538086,128.7510528564453,139.642822265625,341.6258850097656,330.7403564453125,247.32777404785156,46.365478515625
2021-01-06,124.40293884277344,206.69886779785156,156.91900634765625,86.14399719238281,263.30999755859375,230.27000427246094,147.43585205078125,208.0829620361328,121.6700439453125,130.10629272460938,140.5146942138672,341.75372314453125,344.620361328125,248.74082946777344,46.81438446044922
2021-01-07,128.64791870117188,212.58090209960938,158.10800170898438,88.71700286865234,268.739990234375,232.8800048828125,147.93397521972656,209.24758911132812,125.66559600830078,128.8902587890625,140.50511169433594,344.4613037109375,350.1455383300781,247.52308654785156,47.812965393066406
2021-01-08,129.7583465576172,213.87612915039062,159.13499450683594,89.8915023803711,267.57000732421875,234.02999877929688,147.6295623779297,210.85256958007812,125.80432891845703,128.83457946777344,140.48594665527344,348.3896789550781,348.57232666015625,250.1538543701172,47.318260192871094
2021-01-11,126.7416000366211,211.80186462402344,155.7104949951172,87.81449890136719,256.8399963378906,233.42999267578125,147.01153564453125,208.3472137451172,127.68185424804688,127.96202087402344,141.1182861328125,342.8268737792969,346.03997802734375,252.14328002929688,47.21748352050781
2021-01-12,126.56475830078125,209.3087921142578,156.04150390625,86.87149810791016,251.08999633789062,233.02999877929688,145.86766052246094,204.4031982421875,129.6888885498047,127.21939849853516,142.7279052734375,337.6283874511719,342.7978210449219,256.8843688964844,48.774906158447266
2021-01-13,128.61846923828125,210.68191528320312,158.29449462890625,87.36250305175781,251.63999938964844,234.50999450683594,145.64627075195312,204.88278198242188,129.8091278076172,127.41432189941406,141.27162170410156,340.98577880859375,340.5628662109375,254.7648162841797,52.17376708984375
2021-01-14,126.67283630371094,207.44873046875,156.37350463867188,86.5459976196289,245.63999938964844,235.02000427246094,148.19227600097656,197.55255126953125,130.5675048828125,126.0590591430664,140.81170654296875,321.8851318359375,336.23675537109375,249.4566192626953,54.28087615966797
2021-01-15,124.93355560302734,207.0884246826172,155.21249389648438,86.38099670410156,251.36000061035156,233.49000549316406,147.86940002441406,197.288330078125,128.22755432128906,125.1122055053711,138.579345703125,318.27178955078125,336.9753112792969,256.1964416503906,52.75093078613281
2021-01-19,125.61157989501953,210.77928161621094,156.03799438476562,89.22350311279297,261.1000061035156,234.5500030517578,150.15708923339844,197.3568572998047,127.67259979248047,124.0168685913086,137.38169860839844,320.9104309082031,337.82904052734375,253.96542358398438,53.12653732299805
2021-01-20,129.7386932373047,218.47268676757812,163.16900634765625,94.00350189208984,267.4800109863281,234.75999450683594,149.7880859375,201.614013671875,125.75807189941406,122.4666519165039,139.41290283203125,329.74200439453125,336.5340576171875,254.9972686767578,53.74951171875
2021-01-21,134.4947052001953,219.08619689941406,165.34950256347656,94.2074966430664,272.8699951171875,234.16000366210938,149.18849182128906,200.76258850097656,124.70370483398438,122.34618377685547,138.78054809570312,329.2792663574219,340.5244445800781,259.4129638671875,57.221649169921875
2021-01-22,136.6565399169922,220.0405731201172,164.6114959716797,94.62799835205078,274.5,232.9199981689453,150.8673858642578,197.7091827392578,123.7417984008789,121.4029769897461,140.1985321044922,323.9133605957031,333.37823486328125,264.0146484375,51.9080810546875
2021-01-25,140.43971252441406,223.52696228027344,164.6999969482422,94.71399688720703,278.010009765625,233.00999450683594,153.1089324951172,196.6913299560547,122.19723510742188,123.4948501586914,140.07398986816406,324.1102600097656,333.6275939941406,265.01861572265625,50.790401458740234
2021-01-26,140.675537109375,226.2537384033203,166.30650329589844,95.39749908447266,282.04998779296875,231.57000732421875,157.2599639892578,197.69937133789062,121.69779205322266,124.28860473632812,141.32908630371094,322.6432800292969,329.1192321777344,262.71319580078125,50.579689025878906
2021-01-27,139.59461975097656,226.8087921142578,161.62899780273438,90.9469985961914,272.1400146484375,227.36000061035156,154.8616180419922,190.8096160888672,118.25717163085938,119.8901138305664,137.81285095214844,310.6217041015625,319.4119873046875,254.7648162841797,49.09556198120117
2021-01-28,134.71087646484375,232.6811065673828,161.88099670410156,92.66000366210938,265.0,230.9499969482422,156.04232788085938,193.99024963378906,120.33819580078125,121.73917388916016,137.7266082763672,319.2759704589844,324.361572265625,258.4833679199219,51.3675651550293
2021-01-29,129.66990661621094,225.89341735839844,160.30999755859375,91.36799621582031,258.3299865722656,227.8699951171875,150.47994995117188,189.12631225585938,119.00634002685547,119.73136138916016,134.6032257080078,311.4093017578125,319.97784423828125,251.76211547851562,50.854530334472656
2021-02-01,131.81207275390625,233.38226318359375,167.1439971923828,94.65350341796875,262.010009765625,229.32000732421875,150.09254455566406,194.1272430419922,119.88499450683594,120.44108581542969,133.43435668945312,316.5979919433594,320.3807678222656,251.06491088867188,51.93556594848633
2021-02-02,132.64732360839844,233.2459259033203,169.0,95.95600128173828,267.0799865722656,232.24000549316406,148.7457275390625,198.28656005859375,123.57532501220703,120.27298736572266,134.87149047851562,329.2103271484375,324.90826416015625,253.0078887939453,53.135704040527344
