Date,ABMD,AON,BMY,CHRW,CPB,CBOE,CMG,CLX,DPZ,EBAY,EXR,FFIV,GIS,GILD,HLT,HRL,INCY,SJM,K,KR,NEM,PSA,TYL,VZ,WMT
2021-01-04,316.7300109863281,199.913818359375,56.161495208740234,85.67185974121094,44.13851547241211,92.61000061035156,1319.1199951171875,183.54055786132812,367.8022766113281,48.846004486083984,100.38507843017578,175.85000610351562,53.81812286376953,53.564823150634766,106.6679916381836,43.140380859375,86.44999694824219,105.81709289550781,51.40924072265625,30.159507751464844,56.21033477783203,194.6344451904297,431.6099853515625,49.72431182861328,140.39016723632812
2021-01-05,322.6000061035156,199.6694793701172,56.31704330444336,84.86492156982422,44.47503662109375,92.55000305175781,1355.1099853515625,183.14678955078125,369.5855407714844,49.348690032958984,99.10171508789062,177.25,53.872840881347656,53.466800689697266,107.15438842773438,42.65597152709961,85.87000274658203,107.18980407714844,51.70204544067383,29.943614959716797,56.459571838378906,192.1329803466797,432.239990234375,49.496185302734375,139.64285278320312
2021-01-06,321.6099853515625,202.09329223632812,56.45429992675781,88.33370971679688,43.57461929321289,95.47000122070312,1343.4100341796875,180.76600646972656,373.0067443847656,50.47736740112305,98.94698333740234,178.5800018310547,53.7360725402832,55.20447540283203,109.9535903930664,42.916805267333984,84.30999755859375,108.33370971679688,51.300479888916016,30.234603881835938,58.07067108154297,188.9951934814453,433.7300109863281,50.096092224121094,140.5146942138672
2021-01-07,323.55999755859375,201.87828063964844,57.05818176269531,89.18701934814453,43.281307220458984,96.79000091552734,1368.1400146484375,179.86865234375,371.3785400390625,50.32561492919922,99.18363952636719,180.10000610351562,53.294639587402344,55.712406158447266,112.45503997802734,42.590763092041016,90.05000305175781,106.93356323242188,50.94074249267578,29.86852264404297,57.981658935546875,192.20372009277344,437.6700134277344,49.98335647583008,140.50511169433594
2021-01-08,324.05999755859375,200.5686492919922,57.17713165283203,90.29999542236328,42.95133590698242,98.80999755859375,1402.43994140625,181.15975952148438,376.84466552734375,51.67243576049805,101.98701477050781,191.24000549316406,51.8691520690918,56.175785064697266,113.3186264038086,42.557979583740234,93.83000183105469,106.26551818847656,50.36347579956055,29.69017219543457,55.88990783691406,196.77345275878906,436.3900146484375,49.359954833984375,140.48597717285156
2021-01-11,324.5899963378906,197.54869079589844,59.446285247802734,89.53018188476562,42.19057083129883,99.80000305175781,1402.6199951171875,177.3962860107422,378.5020446777344,51.15077590942383,101.3498764038086,190.35000610351562,51.1058349609375,55.703495025634766,112.34584045410156,41.6120491027832,93.31999969482422,104.41693878173828,49.66910171508789,29.812204360961914,55.142208099365234,195.5625457763672,429.6499938964844,49.06959915161133,141.11827087402344
2021-01-12,324.6700134277344,197.89073181152344,59.86717224121094,90.80082702636719,41.695613861083984,101.0199966430664,1401.6400146484375,177.86328125,373.6173400878906,53.15203857421875,101.85050964355469,192.97000122070312,50.002235412597656,55.320316314697266,111.50212097167969,41.27486801147461,94.30999755859375,101.79051208496094,48.991458892822266,29.58692169189453,55.62286376953125,196.43760681152344,424.6700134277344,48.898807525634766,142.72793579101562
2021-01-13,323.7099914550781,202.2105712890625,59.2266845703125,88.76962280273438,41.64061737060547,97.37999725341797,1395.0,177.40541076660156,370.0895690917969,52.839046478271484,101.81410217285156,191.7100067138672,50.94028854370117,54.8391227722168,111.04550170898438,41.21867370605469,92.73999786376953,102.08333587646484,49.4766845703125,30.028095245361328,55.2490234375,198.69154357910156,421.989990234375,48.72801208496094,141.27157592773438
2021-01-14,318.30999755859375,201.93690490722656,60.407005310058594,90.30926513671875,42.043914794921875,95.77999877929688,1411.800048828125,179.06285095214844,362.2779541015625,52.42171859741211,100.37598419189453,193.42999267578125,51.2713737487793,55.60546875,111.28373718261719,41.18122100830078,92.04000091552734,102.99847412109375,49.401390075683594,31.10756492614746,56.37056350708008,195.5448455810547,419.2200012207031,48.7109375,140.81170654296875
2021-01-15,329.69000244140625,203.21719360351562,60.88280487060547,88.30589294433594,42.548038482666016,96.61000061035156,1405.739990234375,180.86676025390625,363.6639404296875,52.563987731933594,102.1053466796875,195.10000610351562,51.72201156616211,56.43421173095703,107.61101531982422,42.02413558959961,90.55999755859375,104.40778350830078,49.3846549987793,31.633228302001953,55.062103271484375,198.33798217773438,422.32000732421875,49.001285552978516,138.579345703125
2021-01-19,336.29998779296875,204.41934204101562,61.06580352783203,89.44672393798828,42.51137924194336,97.44999694824219,1429.47998046875,179.94190979003906,361.1634521484375,54.04359817504883,101.63204956054688,196.8000030517578,51.19779968261719,59.766971588134766,107.13452911376953,41.911746978759766,93.95999908447266,105.83540344238281,48.90779113769531,31.558122634887695,55.053199768066406,195.00567626953125,423.6099853515625,48.7194709777832,137.38169860839844
2021-01-20,347.8699951171875,207.13633728027344,60.617454528808594,91.63557434082031,42.199737548828125,97.5,1480.6199951171875,180.32647705078125,367.3177185058594,53.27534484863281,104.4991455078125,198.64999389648438,50.89431381225586,60.5867919921875,106.90621948242188,41.89301300048828,96.37000274658203,104.53591918945312,48.221778869628906,31.041866302490234,56.53968048095703,198.8594512939453,430.17999267578125,48.898807525634766,139.41287231445312
2021-01-21,348.55999755859375,204.72230529785156,58.723445892333984,90.84722137451172,42.73135757446289,96.08000183105469,1503.6800537109375,180.5828857421875,369.3723449707031,53.493492126464844,104.38993835449219,201.0,50.84832763671875,59.6867790222168,108.01797485351562,42.380035400390625,93.9000015258789,103.79466247558594,48.430931091308594,31.173274993896484,55.462650299072266,196.19894409179688,426.7099914550781,48.907344818115234,138.780517578125
