Date,AAPL,MSFT,AMZN,PG
2021-01-04,127.16413879394531,211.99661254882812,159.3314971923828,127.93417358398438
2021-01-05,128.7363739013672,212.20111083984375,160.92550659179688,128.7510528564453
2021-01-06,124.40293884277344,206.69888305664062,156.91900634765625,130.10630798339844
2021-01-07,128.64791870117188,212.58091735839844,158.10800170898438,128.8902587890625
2021-01-08,129.7583465576172,213.87612915039062,159.13499450683594,128.8345489501953
2021-01-11,126.7416000366211,211.8018341064453,155.7104949951172,127.9620132446289
2021-01-12,126.56475830078125,209.3087921142578,156.04150390625,127.21939086914062
2021-01-13,128.61846923828125,210.68191528320312,158.29449462890625,127.41432189941406
2021-01-14,126.67283630371094,207.44876098632812,156.37350463867188,126.05905151367188
2021-01-15,124.93355560302734,207.08843994140625,155.21249389648438,125.11222839355469
2021-01-19,125.61157989501953,210.77931213378906,156.03799438476562,124.01685333251953
2021-01-20,129.7386932373047,218.47267150878906,163.16900634765625,122.4666519165039
2021-01-21,134.4947052001953,219.0862274169922,165.34950256347656,122.34618377685547
2021-01-22,136.6565399169922,220.0406036376953,164.6114959716797,121.40296936035156
2021-01-25,140.43971252441406,223.52694702148438,164.6999969482422,123.49484252929688
2021-01-26,140.675537109375,226.25372314453125,166.30650329589844,124.28861999511719
2021-01-27,139.59461975097656,226.80880737304688,161.62899780273438,119.89009857177734
2021-01-28,134.71087646484375,232.6811065673828,161.88099670410156,121.73916625976562
2021-01-29,129.66990661621094,225.89340209960938,160.30999755859375,119.73136138916016
2021-02-01,131.81207275390625,233.3822784423828,167.1439971923828,120.44110107421875
2021-02-02,132.64732360839844,233.24595642089844,169.0,120.27297973632812
2021-02-03,131.61553955078125,236.6446533203125,165.62649536132812,120.42240905761719
2021-02-04,135.00564575195312,235.68052673339844,166.5500030517578,120.49713134765625
2021-02-05,134.58741760253906,235.86558532714844,167.6074981689453,121.00141143798828
2021-02-08,134.73504638671875,236.1285400390625,166.14700317382812,120.62786102294922
2021-02-09,133.8493194580078,237.39454650878906,165.25,120.16092681884766
2021-02-10,133.23919677734375,236.46934509277344,164.32899475097656,119.74069213867188
2021-02-11,132.9833221435547,238.095703125,163.10650634765625,119.8434066772461
2021-02-12,133.21951293945312,238.58261108398438,163.885498046875,119.18037414550781
2021-02-16,131.0741424560547,237.32635498046875,163.44749450683594,119.46052551269531
2021-02-17,128.76145935058594,238.36099243164062,165.4320068359375,119.96482849121094
2021-02-18,127.64942169189453,237.96080017089844,166.4114990234375,120.96404266357422
2021-02-19,127.806884765625,235.20823669433594,162.4949951171875,118.71343231201172
2021-02-22,123.99835968017578,228.90269470214844,159.03700256347656,118.20915222167969
2021-02-23,123.8605728149414,227.69236755371094,159.72500610351562,119.08695983886719
2021-02-24,123.3586654663086,228.94174194335938,157.97650146484375,119.21772766113281
2021-02-25,119.06794738769531,223.5147247314453,152.85800170898438,118.20915222167969
2021-02-26,119.33364868164062,226.82362365722656,154.64649963378906,115.36084747314453
2021-03-01,125.75992584228516,231.27459716796875,157.3070068359375,116.0705795288086
2021-03-02,123.13233184814453,228.2779998779297,154.72650146484375,115.70637512207031
2021-03-03,120.12093353271484,222.11888122558594,150.25,115.01531219482422
2021-03-04,118.22159576416016,221.30873107910156,148.8784942626953,114.07209014892578
2021-03-05,119.49110412597656,226.06227111816406,150.0229949951172,117.64881134033203
2021-03-08,114.51148986816406,221.9529571533203,147.59750366210938,118.89086151123047
2021-03-09,119.16633605957031,228.19015502929688,153.1425018310547,117.83557891845703
2021-03-10,118.07400512695312,226.8627166748047,152.8820037841797,118.91887664794922
2021-03-11,120.02253723144531,231.46005249023438,155.67950439453125,118.51731872558594
2021-03-12,119.10730743408203,230.11306762695312,154.47450256347656,119.66597747802734
2021-03-15,122.02027130126953,229.1955108642578,154.08399963378906,120.05819702148438
2021-03-16,123.57518768310547,232.02618408203125,154.59300231933594,120.41307067871094
2021-03-17,122.7780532836914,231.37220764160156,156.7864990234375,119.9274673461914
2021-03-18,118.61524963378906,225.20333862304688,151.39950561523438,120.18893432617188
2021-03-19,118.08383178710938,224.84217834472656,153.7480010986328,119.54457092285156
2021-03-22,121.4298095703125,230.34732055664062,155.5435028076172,121.57106018066406
2021-03-23,120.59331512451172,231.8992919921875,156.875,123.83103942871094
2021-03-24,118.18223571777344,229.8300018310547,154.35350036621094,123.7936782836914
2021-03-25,118.67428588867188,226.78460693359375,152.31300354003906,124.65281677246094
2021-03-26,119.28443908691406,230.82559204101562,152.60150146484375,126.4925537109375
2021-03-29,119.46159362792969,229.61529541015625,153.7864990234375,128.47235107421875
2021-03-30,117.99525451660156,226.30628967285156,152.76449584960938,126.4925537109375
2021-03-31,120.20951843261719,230.1326141357422,154.70399475097656,126.473876953125
2021-04-01,121.04600524902344,236.5552520751953,158.0500030517578,125.39994049072266
2021-04-05,123.89994049072266,243.11456298828125,161.3365020751953,127.42642211914062
2021-04-06,124.20503234863281,241.93350219726562,161.1909942626953,127.47311401367188
2021-04-07,125.8681640625,243.92471313476562,163.96949768066406,127.69728088378906
2021-04-08,128.2890625,247.19459533691406,164.96499633789062,128.18284606933594
2021-04-09,130.8871612548828,249.732421875,168.61000061035156,127.35173797607422
2021-04-12,129.15512084960938,249.79100036621094,168.96949768066406,127.86531066894531
2021-04-13,132.29443359375,252.30929565429688,170.0,126.17504119873047
2021-04-14,129.9325408935547,249.47865295410156,166.64999389648438,126.63265991210938
2021-04-15,132.36331176757812,253.29519653320312,168.95449829101562,128.1641845703125
2021-04-16,132.02870178222656,254.5054931640625,169.9720001220703,128.17352294921875
2021-04-19,132.6979217529297,252.5533447265625,168.60049438476562,127.57587432861328
2021-04-20,130.9954071044922,252.0848388671875,166.7344970703125,128.64044189453125
2021-04-21,131.3792266845703,254.34934997558594,168.1009979248047,127.80001068115234
2021-04-22,129.843994140625,251.02088928222656,165.45199584960938,126.53118133544922
2021-04-23,132.18618774414062,254.9057159423828,167.04400634765625,125.88270568847656
2021-04-26,132.579833984375,255.296142578125,170.4499969482422,123.36389923095703
2021-04-27,132.25506591796875,255.70606994628906,170.8715057373047,123.28870391845703
2021-04-28,131.4579315185547,248.47329711914062,172.9250030517578,123.49549102783203
2021-04-29,131.35952758789062,246.47230529785156,173.5655059814453,124.53871154785156
2021-04-30,129.3716278076172,246.15020751953125,173.37100219726562,125.39395904541016
2021-05-03,130.4344482421875,245.8378448486328,169.32449340820312,126.8789291381836
2021-05-04,125.81895446777344,241.86517333984375,165.593505859375,126.44658660888672
2021-05-05,126.06499481201172,240.57675170898438,163.52699279785156,125.43156433105469
2021-05-06,127.67892456054688,243.75875854492188,165.31849670410156,127.0105209350586
2021-05-07,128.35914611816406,246.4235076904297,164.58050537109375,127.01991271972656
2021-05-10,125.0468978881836,241.269775390625,159.52450561523438,129.3883056640625
2021-05-11,124.1202621459961,240.3424835205078,161.19549560546875,128.7492218017578
2021-05-12,121.0248794555664,233.28533935546875,157.5970001220703,127.38643646240234
2021-05-13,123.19361877441406,237.21896362304688,158.07350158691406,129.43533325195312
2021-05-14,125.63835144042969,242.216552734375,161.14500427246094,129.70785522460938
2021-05-17,124.47513580322266,239.3175506591797,163.51950073242188,129.4447021484375
2021-05-18,123.0753173828125,237.26779174804688,161.61399841308594,128.11956787109375
2021-05-19,122.9176025390625,237.85479736328125,161.58999633789062,128.3826904296875
2021-05-20,125.50035858154297,241.1420135498047,162.38400268554688,129.69847106933594
2021-05-21,123.64707946777344,239.86041259765625,160.1540069580078,129.69847106933594
2021-05-24,125.2933349609375,245.34889221191406,162.24949645996094,129.66087341308594
2021-05-25,125.09618377685547,246.2685089111328,162.95249938964844,130.1025848388672
2021-05-26,125.0468978881836,246.0435333251953,163.25799560546875,129.81121826171875
2021-05-27,123.49919891357422,243.91073608398438,161.5054931640625,126.86013793945312
2021-05-28,122.8387451171875,244.272705078125,161.15350341796875,126.73795318603516
2021-06-01,122.51342010498047,242.04208374023438,160.9324951171875,124.8864517211914
2021-06-02,123.2823257446289,241.94427490234375,161.69949340820312,125.43156433105469
2021-06-03,121.783935546875,240.3887176513672,159.35049438476562,127.67781066894531
2021-06-04,124.10054779052734,245.3586883544922,160.31100463867188,127.77178955078125
2021-06-07,124.11039733886719,248.31324768066406,159.90049743652344,128.2135009765625
2021-06-08,124.93844604492188,247.10015869140625,163.20550537109375,126.72854614257812
2021-06-09,125.32291412353516,248.09805297851562,164.0574951171875,126.68154907226562
2021-06-10,124.31741333007812,251.6689910888672,167.4824981689453,127.62138366699219
2021-06-11,125.53978729248047,252.30494689941406,167.3415069580078,126.74735260009766
2021-06-14,128.6252899169922,254.2615966796875,169.19349670410156,126.79434204101562
2021-06-15,127.7972412109375,252.76473999023438,169.156494140625,126.54996490478516
2021-06-16,128.2999725341797,251.80596923828125,170.7624969482422,124.7924575805664
2021-06-17,129.91665649414062,255.2497100830078,174.46200561523438,125.9297103881836
2021-06-18,128.6055908203125,253.8115692138672,174.34500122070312,124.08759307861328
2021-06-21,130.41941833496094,256.9422912597656,172.697998046875,125.06504821777344
2021-06-22,132.07553100585938,259.75994873046875,175.27200317382812,125.11199951171875
2021-06-23,131.7995147705078,259.52508544921875,175.1909942626953,124.93345642089844
2021-06-24,131.51364135742188,260.914306640625,172.45399475097656,125.0180435180664
2021-06-25,131.21791076660156,259.28045654296875,170.072998046875,126.80374908447266
2021-06-28,132.86419677734375,262.90032958984375,172.1945037841797,127.17970275878906
2021-06-29,134.3921356201172,265.5223388671875,172.40699768066406,126.31503295898438
2021-06-30,135.01318359375,265.03314208984375,172.00799560546875,126.81312561035156
2021-07-01,135.3187713623047,265.71795654296875,171.64849853515625,127.1044692993164
2021-07-02,137.97055053710938,271.6369934082031,175.5489959716797,127.72477722167969
2021-07-06,140.00125122070312,271.6468200683594,183.78700256347656,127.79998016357422
2021-07-07,142.51498413085938,273.8676452636719,184.82899475097656,128.75863647460938
2021-07-08,141.2039337158203,271.4119567871094,186.57049560546875,128.7398223876953
2021-07-09,143.04733276367188,271.9206848144531,185.9669952392578,128.78680419921875
2021-07-12,142.4459991455078,271.3141174316406,185.92750549316406,128.8901824951172
2021-07-13,143.56980895996094,274.8949279785156,183.8679962158203,128.7304229736328
2021-07-14,147.02989196777344,276.3917541503906,184.08399963378906,129.67967224121094
2021-07-15,146.36944580078125,274.94378662109375,181.55999755859375,130.78868103027344
2021-07-16,144.30914306640625,274.66986083984375,178.68150329589844,132.05747985839844
2021-07-19,140.42515563964844,271.0108337402344,177.47950744628906,131.99166870117188
2021-07-20,144.07254028320312,273.27081298828125,178.6595001220703,131.2868194580078
2021-07-21,143.3332061767578,275.3057556152344,179.25999450683594,130.82626342773438
2021-07-22,144.7133331298828,279.9431457519531,181.90150451660156,130.32501220703125
2021-07-23,146.44830322265625,283.3966979980469,182.83200073242188,132.20704650878906
2021-07-26,146.87220764160156,282.7900695800781,184.99099731445312,132.67051696777344
2021-07-27,144.6837158203125,280.33447265625,181.3195037841797,133.2095947265625
2021-07-28,142.91920471191406,280.02142333984375,181.51600646972656,131.23294067382812
2021-07-29,143.56980895996094,280.2953186035156,179.99600219726562,131.91387939453125
2021-07-30,143.7866668701172,278.73974609375,166.37950134277344,134.51470947265625
2021-08-02,143.4514923095703,278.6517028808594,166.57400512695312,134.18370056152344
2021-08-03,145.2653350830078,280.9018859863281,168.31199645996094,136.1414031982422
2021-08-04,144.8611602783203,280.30511474609375,167.73599243164062,134.70387268066406
2021-08-05,144.9696044921875,283.24993896484375,168.79949951171875,134.77008056640625
2021-08-06,144.2785186767578,283.19122314453125,167.2469940185547,133.73919677734375
2021-08-09,144.22915649414062,282.0856628417969,167.093505859375,134.4674072265625
2021-08-10,143.74542236328125,280.2366027832031,166.03399658203125,134.5525665283203
2021-08-11,144.00209045410156,280.735595703125,164.60549926757812,134.88356018066406
2021-08-12,146.99349975585938,283.5335998535156,165.1750030517578,135.1956787109375
2021-08-13,147.20083618164062,286.5078125,164.69850158691406,135.84823608398438
