Tickers,Weights
AMD,0.0316
CMG,0.1577
CHD,0.0142
CLX,0.0185
DXCM,0.1009
DG,0.0694
LLY,0.0046
ENPH,0.1809
ETSY,0.0324
GNRC,0.069
MKTX,0.0374
MTCH,0.0383
TGT,0.1288
TSLA,0.0569
WST,0.0594
