,Markowitz,Sharpe,VADER Positive,VADER Compound,TextBlob
Annual Return,0.11630126664136653,0.21933026158258148,0.23871814870917743,0.2260506014981379,0.2865324728032216
Average Return,0.00046520506656546614,0.0008773210463303259,0.0009548725948367097,0.0009042024059925516,0.0011461298912128863
Volatility,0.006870540902204601,0.011783383812065373,0.008576761579943895,0.008278454122222407,0.008681283471947309
Sharpe Ratio,0.14016548043614097,0.1691621564414129,0.25501250870798736,0.24889985310786775,0.30701966323815405
